date,from_symbol,to_symbol,fee
2022-05-09,GLD,TQQQ,0.0
2022-05-10,TQQQ,GLD,0.0
2022-05-11,GLD,TQQQ,0.0
2022-05-13,TQQQ,GLD,0.0
2022-05-27,GLD,QQQ,0.0
2022-06-01,QQQ,GLD,0.0
2022-06-02,GLD,QQQ,0.0
2022-06-09,QQQ,GLD,0.0
2022-06-13,GLD,TQQQ,0.0
2022-06-15,TQQQ,GLD,0.0
2022-06-16,GLD,TQQQ,0.0
2022-06-17,TQQQ,GLD,0.0
2022-07-19,GLD,QQQ,0.0
2022-08-26,QQQ,GLD,0.0
2022-09-02,GLD,TQQQ,0.0
2022-09-07,TQQQ,GLD,0.0
2022-09-22,GLD,TQQQ,0.0
2022-09-28,TQQQ,GLD,0.0
2022-09-29,GLD,TQQQ,0.0
2022-10-03,TQQQ,GLD,0.0
2022-10-11,GLD,TQQQ,0.0
2022-10-13,TQQQ,GLD,0.0
2022-10-21,GLD,QQQ,0.0
2022-12-15,QQQ,GLD,0.0
2022-12-28,GLD,TQQQ,0.0
2022-12-29,TQQQ,GLD,0.0
2023-01-10,GLD,QQQ,0.0
2023-02-21,QQQ,XLU,0.0
2023-03-10,XLU,GLD,0.0
2023-03-14,GLD,XLU,0.0
2023-03-15,XLU,GLD,0.0
2023-03-16,GLD,XLU,0.0
2023-03-21,XLU,QQQ,0.0
2023-03-22,QQQ,XLU,0.0
2023-03-29,XLU,QQQ,0.0
2023-04-26,QQQ,XLU,0.0
2023-04-27,XLU,QQQ,0.0
2023-05-04,QQQ,XLU,0.0
2023-05-05,XLU,QQQ,0.0
2023-05-16,QQQ,XLU,0.0
2023-05-17,XLU,QQQ,0.0
2023-05-24,QQQ,XLU,0.0
2023-05-25,XLU,QQQ,0.0
2023-06-14,QQQ,UVXY,0.0
2023-06-16,UVXY,QQQ,0.0
2023-07-18,QQQ,UVXY,0.0
2023-07-20,UVXY,QQQ,0.0
2023-08-04,QQQ,XLU,0.0
2023-08-07,XLU,QQQ,0.0
2023-08-09,QQQ,XLU,0.0
2023-08-17,XLU,TQQQ,0.0
2023-08-21,TQQQ,XLU,0.0
2023-08-29,XLU,QQQ,0.0
2023-09-06,QQQ,XLU,0.0
2023-09-11,XLU,QQQ,0.0
2023-09-15,QQQ,XLU,0.0
2023-09-18,XLU,QQQ,0.0
2023-09-19,QQQ,XLU,0.0
2023-09-21,XLU,TQQQ,0.0
2023-09-25,TQQQ,XLU,0.0
2023-09-26,XLU,TQQQ,0.0
2023-09-28,TQQQ,XLU,0.0
2023-10-16,XLU,QQQ,0.0
2023-10-18,QQQ,XLU,0.0
2023-10-25,XLU,GLD,0.0
2023-10-26,GLD,TQQQ,0.0
2023-10-27,TQQQ,GLD,0.0
2023-11-01,GLD,XLU,0.0
2023-11-02,XLU,QQQ,0.0
2023-12-13,QQQ,UVXY,0.0
2023-12-14,UVXY,QQQ,0.0
2023-12-15,QQQ,UVXY,0.0
2023-12-20,UVXY,QQQ,0.0
2024-01-24,QQQ,UVXY,0.0
2024-01-26,UVXY,QQQ,0.0
2024-04-04,QQQ,XLU,0.0
2024-04-05,XLU,QQQ,0.0
2024-04-10,QQQ,XLU,0.0
2024-04-11,XLU,QQQ,0.0
2024-04-12,QQQ,XLU,0.0
2024-04-18,XLU,TQQQ,0.0
2024-04-22,TQQQ,XLU,0.0
2024-05-03,XLU,QQQ,0.0
