date,equity,ending_balance,tax_withdrawal,cumulative_tax_withdrawal,holding,branch,cash,shares
2024-08-28,153979.75995001302,153979.75995001302,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-08-29,153219.58148321614,153219.58148321614,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-08-30,158128.08815130696,158128.08815130696,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-09-03,144531.99641546712,144531.99641546712,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-09-04,143380.88084158406,143380.88084158406,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-09-05,143815.2769788216,143815.2769788216,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-09-06,132890.60709890828,132890.60709890828,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-09-09,137495.0356267403,137495.0356267403,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-09-10,140948.36546453938,140948.36546453938,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-09-11,149353.61034903035,149353.61034903035,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-09-12,153501.96387609944,153501.96387609944,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-09-13,155391.50307592854,155391.50307592854,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-09-16,153436.7922147225,153436.7922147225,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-09-17,153523.65962347493,153523.65962347493,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-09-18,151634.12042364583,151634.12042364583,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-09-19,162406.74279150472,162406.74279150472,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-09-20,161429.4042447518,161429.4042447518,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-09-23,162558.7987454842,162558.7987454842,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-09-24,164730.68657049641,164730.68657049641,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-09-25,165275.393342347,165275.393342347,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-09-26,168587.32937750325,168587.32937750325,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-09-27,165841.93093237386,165841.93093237386,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-09-30,167062.10989508138,167062.10989508138,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-01,160372.86355719075,160372.86355719075,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-02,160939.4180310677,160939.4180310677,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-03,160590.8002942513,160590.8002942513,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-04,165929.10225042806,165929.10225042806,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-07,160765.0922788094,160765.0922788094,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-08,167345.37024816975,167345.37024816975,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-09,171158.45272192464,171158.45272192464,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-10,170591.91513189778,170591.91513189778,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-11,171005.9240201424,171005.9240201424,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-14,175145.79341253743,175145.79341253743,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-15,168521.98887762532,168521.98887762532,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-16,168434.81755957112,168434.81755957112,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-17,168914.16694769368,168914.16694769368,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-18,171746.71982702718,171746.71982702718,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-21,172640.07810339436,172640.07810339436,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-22,173119.44437536702,173119.44437536702,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-23,165536.8735288094,165536.8735288094,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-24,169262.7846845101,169262.7846845101,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-25,171964.62279638753,171964.62279638753,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-28,172117.13461431966,172117.13461431966,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-29,176627.45256170735,176627.45256170735,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-30,172901.54140600667,172901.54140600667,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-10-31,160438.25470861897,160438.25470861897,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-11-01,163663.03630957112,163663.03630957112,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-11-04,162224.98814520345,162224.98814520345,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-11-05,168042.62260565266,168042.62260565266,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-11-06,180941.68147406087,180941.68147406087,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-11-07,188981.82154211507,188981.82154211507,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-11-08,189417.57682928548,189417.57682928548,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-11-11,189090.73925909505,189090.73925909505,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-11-12,188110.22654852376,188110.22654852376,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-11-13,187325.85352453694,187325.85352453694,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-11-14,183556.331384034,183556.331384034,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-11-15,170940.5328687142,170940.5328687142,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-11-18,174208.8748029183,174208.8748029183,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-11-19,177520.81083807454,177520.81083807454,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-11-20,177324.70491919026,177324.70491919026,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-11-21,178980.6729367684,178980.6729367684,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-11-22,179612.56791052327,179612.56791052327,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-11-25,180396.9409345101,180396.9409345101,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-11-26,183055.20182928548,183055.20182928548,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-11-27,178849.95816931233,178849.95816931233,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-11-29,183185.91659674153,183185.91659674153,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-12-02,188829.30972418294,188829.30972418294,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-12-03,190419.88659033284,190419.88659033284,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-12-04,197043.72489294515,197043.72489294515,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-12-05,195496.6914761971,195496.6914761971,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-12-06,200290.28666052327,200290.28666052327,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-12-09,195823.54593023763,195823.54593023763,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-12-10,193797.18000921712,193797.18000921712,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-12-11,203667.58007940755,203667.58007940755,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-12-12,199810.90350470052,199810.90350470052,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-12-13,203907.24633154378,203907.24633154378,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-12-16,212383.17545446858,212383.17545446858,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-12-17,209659.52340826497,209659.52340826497,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-12-18,187979.5117810677,187979.5117810677,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-12-19,185451.96565374837,185451.96565374837,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-12-20,190027.69163641438,190027.69163641438,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-12-23,195066.72734961018,195066.72734961018,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-12-24,202455.85992559895,202455.85992559895,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-12-26,202040.5003293465,202040.5003293465,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
2024-12-27,194192.27898535237,194192.27898535237,0.0,64594.819224547166,TQQQ,bull_trend,9113.911721558427,4426
