date,spy_price,long_strike,short_strike,debit,pnl,roi,win
2020-12-15,346.53,329,357,17.72,0.74,0.04,true
2020-12-18,347.62,330,358,17.75,4.93,0.28,true
2020-12-21,346.38,329,357,17.71,15.12,0.85,true
2020-12-22,345.8,329,356,17.15,17.03,0.99,true
2020-12-28,350.44,333,361,17.7,15.25,0.86,true
2020-12-29,349.77,332,360,17.82,17.94,1.01,true
2021-01-04,347.25,330,358,17.72,18.37,1.04,true
2021-01-05,349.65,332,360,17.82,15.63,0.88,true
2021-01-08,359.0,341,370,18.28,3.71,0.2,true
2021-01-11,356.58,339,367,17.82,2.28,0.13,true
2021-01-12,356.65,339,367,17.83,0.54,0.03,true
2021-01-15,353.76,336,364,17.86,11.29,0.63,true
2021-01-19,356.54,339,367,17.79,3.28,0.18,true
2021-01-22,360.52,342,371,18.48,-1.78,-0.1,false
2021-01-25,361.94,344,373,18.3,6.77,0.37,true
2021-01-26,361.38,343,372,18.44,8.01,0.43,true
2021-01-29,348.46,331,359,17.95,22.71,1.27,true
2021-02-01,354.26,337,365,17.86,12.58,0.7,true
2021-02-02,359.27,341,370,18.43,7.23,0.39,true
2021-02-05,365.07,347,376,18.34,4.03,0.22,true
2021-02-08,367.71,349,379,18.92,-0.77,-0.04,false
2021-02-09,367.46,349,378,18.5,5.08,0.27,true
2021-02-12,369.71,351,381,18.92,2.47,0.13,true
2021-02-19,367.25,349,378,18.43,14.56,0.79,true
2021-02-22,364.43,346,375,18.48,19.5,1.06,true
2021-02-23,364.87,347,376,18.29,21.46,1.17,true
2021-02-26,358.15,340,369,18.44,28.47,1.54,true
2021-03-01,366.83,348,378,18.98,23.89,1.26,true
2021-03-02,363.97,346,375,18.34,27.83,1.52,true
2021-03-05,361.23,343,372,18.41,28.82,1.57,true
2021-03-08,359.43,341,370,18.48,27.98,1.51,true
2021-03-09,364.56,346,375,18.53,27.15,1.47,true
2021-03-12,371.05,352,382,19.06,21.43,1.12,true
2021-03-15,373.26,355,384,18.44,21.37,1.16,true
2021-03-16,372.79,354,384,18.96,19.24,1.01,true
2021-03-19,367.94,350,379,18.3,24.74,1.35,true
2021-03-22,370.88,352,382,19.0,22.85,1.2,true
2021-03-23,367.96,350,379,18.3,28.43,1.55,true
2021-03-26,374.08,355,385,19.09,18.71,0.98,true
2021-03-29,373.89,355,385,19.02,11.7,0.62,true
2021-03-30,372.9,354,384,19.0,18.53,0.98,true
2021-04-05,383.88,365,395,19.06,6.42,0.34,true
2021-04-06,383.66,364,395,19.69,6.45,0.33,true
2021-04-09,388.73,369,400,19.76,5.35,0.27,true
2021-04-12,388.87,369,401,20.12,5.11,0.25,true
2021-04-13,390.02,371,402,19.46,4.51,0.23,true
2021-04-19,392.24,373,404,19.56,1.43,0.07,true
2021-04-20,389.37,370,401,19.59,7.8,0.4,true
2021-04-23,393.69,374,406,20.06,3.04,0.15,true
2021-04-26,394.51,375,406,19.68,3.78,0.19,true
2021-04-27,394.43,375,406,19.64,4.44,0.23,true
2021-04-30,394.22,375,406,19.55,5.47,0.28,true
2021-05-03,395.07,375,407,20.22,1.84,0.09,true
2021-05-04,392.63,373,404,19.71,-0.61,-0.03,false
2021-05-07,398.77,379,411,20.12,-1.69,-0.08,false
2021-05-10,394.82,375,407,20.12,6.09,0.3,true
2021-05-11,391.3,372,403,19.6,11.0,0.56,true
2021-05-14,393.54,374,405,19.67,9.61,0.49,true
2021-05-17,392.54,373,404,19.67,13.37,0.68,true
2021-05-18,389.16,370,401,19.53,19.58,1.0,true
2021-05-24,395.99,376,408,20.19,10.32,0.51,true
2021-05-25,395.11,375,407,20.23,15.57,0.77,true
2021-05-28,396.81,377,409,20.13,15.11,0.75,true
2021-06-01,396.46,377,408,19.66,10.24,0.52,true
2021-06-04,399.23,379,411,20.33,1.71,0.08,true
2021-06-07,398.84,379,411,20.15,11.58,0.57,true
2021-06-08,398.92,379,411,20.18,15.77,0.78,true
2021-06-11,400.84,381,413,20.17,14.8,0.73,true
2021-06-14,401.74,382,414,20.12,13.52,0.67,true
2021-06-15,401.0,381,413,20.23,12.4,0.61,true
2021-06-18,393.25,374,405,19.58,19.19,0.98,true
2021-06-21,398.88,379,411,20.17,17.51,0.87,true
2021-06-22,401.02,381,413,20.23,16.14,0.8,true
2021-06-25,404.33,384,416,20.41,12.62,0.62,true
2021-06-28,405.15,385,417,20.33,14.52,0.71,true
2021-06-29,405.37,385,418,20.72,14.9,0.72,true
2021-07-02,411.07,391,423,20.33,10.31,0.51,true
2021-07-06,410.32,390,423,20.71,7.58,0.37,true
2021-07-09,412.78,392,425,20.93,9.02,0.43,true
2021-07-12,414.26,394,427,20.7,6.37,0.31,true
2021-07-13,412.84,392,425,20.94,11.84,0.57,true
2021-07-16,408.82,388,421,20.9,17.72,0.85,true
2021-07-19,402.78,383,415,20.18,24.37,1.21,true
2021-07-20,408.55,388,421,20.79,18.65,0.9,true
2021-07-26,417.99,397,431,21.33,5.43,0.25,true
2021-07-27,416.09,395,429,21.35,4.26,0.2,true
2021-07-30,415.61,395,428,20.85,5.68,0.27,true
2021-08-02,414.74,394,427,20.89,7.23,0.35,true
2021-08-03,418.11,397,431,21.37,-0.08,-0.0,false
2021-08-06,419.38,398,432,21.53,-7.62,-0.35,false
2021-08-09,419.04,398,432,21.37,0.42,0.02,true
2021-08-10,419.56,399,432,20.85,0.66,0.03,true
2021-08-13,422.63,402,435,20.91,-3.42,-0.16,false
2021-08-16,423.63,402,436,21.65,-14.31,-0.66,false
2021-08-17,420.85,400,433,20.97,-8.14,-0.39,false
2021-08-20,420.21,399,433,21.43,-11.68,-0.55,false
2021-08-23,423.9,403,437,21.32,-7.66,-0.36,false
2021-08-24,424.58,403,437,21.61,-8.55,-0.4,false
